Date,O,H,L,C
1491580800,137.2,137.691,137.091,137.673
1491595200,137.601,137.826,137.324,137.344
1491782400,137.44,137.961,137.361,137.879
1491796800,137.878,138.121,137.87,138.004
1491811200,138.005,138.146,137.827,138.011
1491825600,138.011,138.109,137.801,138.006
1491840000,138.006,138.261,137.583,137.815
1491854400,137.815,137.889,137.594,137.713
1491868800,137.706,137.73,137.448,137.579
1491883200,137.578,137.73,137.349,137.403
1491897600,137.403,137.722,137.107,137.455
1491912000,137.454,137.581,137.246,137.248
1491926400,137.249,137.315,136.846,137.011
1491940800,137.01,137.196,136.884,136.892
1491955200,136.877,137.026,136.535,136.584
1491969600,136.584,136.759,136.538,136.576
1491984000,136.579,137.335,136.519,137.134
1491998400,137.135,137.205,136.789,136.837
1492012800,136.835,137.166,136.758,136.887
1492027200,136.885,137.152,136.61,136.646
1492041600,136.641,136.791,136.525,136.583
1492056000,136.581,136.825,136.489,136.754
1492070400,136.754,137.118,136.667,136.821
1492084800,136.828,136.973,136.554,136.727
1492099200,136.731,136.878,136.515,136.527
1492113600,136.524,136.57,136.339,136.377
1492128000,136.331,136.58,136.331,136.473
1492142400,136.471,136.627,136.438,136.486
1492156800,136.486,136.499,136.116,136.237
1492171200,136.234,136.291,136.002,136.097
1492185600,136.097,136.159,136.008,136.062
1492200000,136.061,136.109,135.918,135.965
1492387200,136.195,136.337,135.62,135.859
1492401600,135.858,135.92,135.595,135.722
1492416000,135.725,135.953,135.692,135.827
1492430400,135.828,136.391,135.794,136.305
1492444800,136.306,136.634,136.208,136.576
1492459200,136.575,136.974,136.526,136.818
1492473600,136.822,137.152,136.754,137.043
1492488000,137.042,137.168,136.806,137.019
1492502400,137.017,137.335,136.973,137.043
1492516800,137.041,138.418,136.142,138.326
1492531200,138.326,138.839,138.233,138.451
1492545600,138.451,140.012,138.418,139.198
1492560000,139.186,139.609,139.162,139.301
1492574400,139.301,139.469,139.066,139.3
1492588800,139.303,139.897,139.244,139.532
1492603200,139.532,140.187,139.474,139.726
1492617600,139.727,139.971,139.057,139.18
1492632000,139.178,139.328,138.93,139.056
1492646400,139.057,139.365,139.011,139.266
1492660800,139.267,139.568,139.147,139.502
1492675200,139.502,140.042,139.383,139.938
1492689600,139.935,140.055,139.471,139.61
1492704000,139.61,140.34,139.566,140.148
1492718400,140.149,140.231,139.968,140.052
1492732800,140.056,140.112,139.837,139.896
1492747200,139.896,139.955,139.723,139.783
1492761600,139.783,140.152,139.443,139.678
1492776000,139.679,139.771,139.194,139.495
1492790400,139.494,139.694,139.225,139.459
1492804800,139.458,139.885,139.305,139.703
1492992000,141.655,141.715,140.808,141.029
1493006400,141.031,141.037,140.596,140.886
1493020800,140.886,141.275,140.662,141.258
1493035200,141.257,141.412,140.781,140.816
1493049600,140.814,141.044,140.192,140.331
1493064000,140.331,140.552,140.288,140.391
1493078400,140.397,140.464,140.05,140.371
1493092800,140.37,140.829,140.357,140.671
1493107200,140.67,141.564,140.669,141.556
1493121600,141.55,141.926,141.306,141.879
1493136000,141.872,142.618,141.69,142.488
1493150400,142.488,142.649,142.268,142.616
1493164800,142.534,143.009,142.417,142.827
1493179200,142.828,142.897,142.699,142.863
1493193600,142.864,143.038,142.329,142.553
1493208000,142.553,143.26,142.448,142.894
1493222400,142.895,143.506,142.542,143.326
1493236800,143.327,143.376,142.488,142.633
1493251200,142.636,143.011,142.585,142.908
1493265600,142.908,143.218,142.908,143.157
1493280000,143.156,143.705,143.059,143.489
1493294400,143.49,143.887,143.402,143.72
1493308800,143.721,143.795,143.139,143.553
1493323200,143.553,143.603,143.351,143.535
1493337600,143.525,143.613,143.338,143.468
1493352000,143.468,143.595,143.299,143.395
1493366400,143.394,144.12,143.386,143.857
1493380800,143.863,144.347,143.851,144.014
1493395200,144.007,144.341,143.735,144.264
1493409600,144.265,144.491,144.177,144.376
1493596800,144.008,144.21,143.805,144.037
1493611200,144.037,144.281,143.9,144.117
1493625600,144.116,144.605,144.069,144.515
1493640000,144.515,144.628,144.255,144.384
1493654400,144.384,144.5,144.066,144.353
1493668800,144.357,144.48,144.038,144.06
1493683200,144.06,144.487,144.06,144.411
1493697600,144.412,144.511,144.244,144.278
1493712000,144.278,144.778,144.224,144.536
1493726400,144.536,145.118,144.536,144.942
1493740800,144.941,145.022,144.689,144.897
1493755200,144.896,144.968,144.773,144.894
1493769600,144.894,145.085,144.83,145.068
1493784000,145.068,145.093,144.605,144.734
1493798400,144.736,145.092,144.509,144.913
1493812800,144.913,145.161,144.803,145.115
1493827200,145.116,145.358,144.781,145.105
1493841600,145.107,145.251,144.985,145.066
1493856000,145.069,145.312,144.872,145.305
1493870400,145.304,145.323,145.158,145.212
1493884800,145.211,145.47,144.657,145.452
1493899200,145.45,145.728,145.354,145.584
1493913600,145.584,145.707,145.202,145.401
1493928000,145.402,145.433,145.069,145.328
1493942400,145.328,145.574,145.265,145.533
1493956800,145.533,145.585,144.806,144.953
1493971200,144.958,145.34,144.884,145.295
1493985600,145.293,145.779,145.072,145.758
1494000000,145.753,146.124,145.595,146.087
1494014400,146.086,146.439,145.923,146.281
1494201600,146.642,146.688,145.932,146.034
1494216000,146.034,146.279,145.938,146.1
1494230400,146.1,146.379,145.934,146.112
1494244800,146.112,146.129,145.656,146.114
1494259200,146.115,146.184,145.793,146.164
1494273600,146.163,146.639,146.096,146.486
1494288000,146.485,146.784,146.45,146.63
1494302400,146.63,146.794,146.486,146.72
1494316800,146.719,147.288,146.701,147.026
1494331200,147.024,147.295,146.879,147.293
1494345600,147.292,147.874,147.264,147.819
1494360000,147.817,147.852,147.153,147.43
1494374400,147.389,147.552,147.181,147.36
1494388800,147.36,147.566,147.19,147.374
1494403200,147.374,148.107,147.346,147.509
1494417600,147.508,147.591,147.121,147.375
1494432000,147.372,147.756,147.203,147.604
1494446400,147.604,148.007,147.587,147.828
1494460800,147.814,147.935,147.692,147.763
1494475200,147.767,147.875,147.599,147.773
1494489600,147.775,147.819,147.377,147.473
1494504000,147.472,147.558,146.361,146.628
1494518400,146.626,146.674,146.138,146.527
1494532800,146.526,146.919,146.518,146.69
1494547200,146.681,146.796,146.601,146.691
1494561600,146.693,146.761,146.438,146.534
1494576000,146.534,146.683,145.954,145.984
1494590400,145.984,146.448,145.93,146.015
1494604800,146.015,146.242,145.8,146.005
1494619200,145.999,146.125,145.898,146.108
1494806400,145.745,146.152,145.703,146.117
1494820800,146.115,146.384,146.031,146.313
1494835200,146.313,146.998,146.244,146.862
1494849600,146.859,146.958,146.315,146.367
1494864000,146.368,146.823,146.324,146.627
1494878400,146.629,146.783,146.534,146.689
1494892800,146.695,146.862,146.44,146.813
1494907200,146.813,146.844,146.361,146.546
1494921600,146.545,147.115,146.321,146.547
1494936000,146.55,146.634,146.096,146.299
1494950400,146.3,146.57,145.816,146.243
1494964800,146.241,146.321,145.938,146.089
1494979200,146.089,146.113,145.34,145.523
1494993600,145.523,145.683,145.262,145.508
1495008000,145.509,145.709,144.953,145.571
1495022400,145.568,145.914,145.169,145.199
1495036800,145.199,145.213,144.041,144.153
1495051200,144.154,144.159,143.637,143.7
1495065600,143.702,144.267,143.402,143.916
1495080000,143.916,144.196,143.72,144.175
1495094400,144.175,144.803,143.616,144.448
1495108800,144.447,144.463,143.635,144.168
1495123200,144.168,144.829,144.025,144.187
1495137600,144.187,144.329,143.351,144.206
1495152000,144.206,144.423,144.105,144.139
