O,H,L,C
17088.5,17210.0,17088.5,17199.97
17199.97,17219.99,17177.45,17199.99
17199.99,17300.0,17199.96,17300.0
17300.0,17395.07,17299.99,17390.1
17390.09,17432.0,17390.0,17390.01
17390.01,17424.0,17310.1,17418.96
17417.35,17432.99,17416.16,17423.83
17424.0,17489.8,17424.0,17488.22
17488.22,17489.99,17450.0,17489.57
17489.57,17633.0,17482.86,17633.0
17626.46,17635.0,17520.0,17629.98
17629.98,17629.98,17580.0,17580.01
17580.0,17619.0,17580.0,17585.0
17585.01,17590.0,17311.0,17483.09
17483.09,17569.66,17483.08,17569.66
17569.66,17615.0,17569.65,17610.01
17610.01,17650.0,17610.0,17613.01
17613.0,17613.01,17571.01,17571.01
17571.02,17593.67,17501.21,17567.53
17567.54,17580.0,17401.0,17489.35
17489.35,17570.0,17489.33,17550.0
17550.0,17630.0,17508.62,17628.73
17628.84,17649.2,17553.37,17554.0
17554.0,17777.69,17553.99,17750.04
17750.03,17750.14,17693.84,17715.95
17715.94,17715.95,17657.48,17678.03
17678.28,17738.51,17653.16,17675.9
17675.8,17720.0,17648.0,17677.82
17677.74,17711.01,17606.0,17616.78
17616.78,17616.78,17167.85,17199.94
17199.94,17424.65,16810.99,16810.99
16813.23,17240.33,16777.0,17210.75
17210.88,17299.99,17125.59,17286.28
17286.28,17400.01,17286.27,17360.0
17360.0,17365.56,17300.01,17340.0
17340.01,17340.01,17160.0,17240.0
17240.01,17280.0,17154.12,17280.0
17279.99,17438.43,17275.96,17398.99
17398.99,17481.16,17338.05,17339.02
17339.02,17356.8,17280.0,17356.8
17350.8,17419.66,17350.01,17375.91
17375.95,17375.96,17216.74,17220.01
17220.01,17292.97,17220.0,17261.1
17261.1,17261.11,16939.57,16949.94
16949.95,17060.0,16804.12,16807.0
16822.33,16843.72,16504.4,16809.02
16809.02,16809.02,16280.0,16280.0
16280.01,16743.42,16090.0,16625.24
16625.26,16689.76,16540.0,16596.99
16596.99,16597.0,16255.76,16492.38
16492.37,16810.0,16488.14,16777.96
16777.96,16789.0,16555.0,16647.0
16639.02,16800.0,16611.09,16799.99
16800.0,16875.0,16625.01,16875.0
16875.0,17096.0,16845.4,16946.67
16948.97,16948.97,16735.38,16869.9
16869.89,16891.0,16625.0,16750.0
16750.0,16769.99,16540.0,16554.4
16554.4,16714.79,16460.0,16666.0
16660.01,16666.0,16352.05,16433.48
16435.02,16480.0,16212.0,16212.0
16212.0,16499.0,16118.25,16330.0
16330.0,16410.0,16200.0,16200.01
16200.01,16370.79,16099.99,16176.99
16176.97,16210.0,16102.0,16125.99
16125.99,16126.0,15577.0,15800.05
15800.07,16347.04,15800.01,16300.02
16310.0,16345.78,15800.0,15801.03
15800.01,16091.99,15750.0,15940.01
15940.01,16000.0,15605.25,15699.85
15657.23,15791.49,15142.42,15299.99
15319.54,15500.0,15236.46,15310.0
15310.0,15986.53,15153.0,15856.8
15856.8,15999.0,15501.0,15541.9
15538.76,15989.5,15530.0,15815.1
15814.16,15998.0,15814.15,15998.0
15998.0,16325.4,15997.99,16222.0
16222.0,16246.71,16150.0,16220.0
16220.09,16223.0,15830.0,15875.97
15850.4,16134.7,15650.0,16082.04
16082.04,16100.0,15897.0,15897.0
15899.58,16100.0,15850.0,16040.15
16040.15,16280.0,16020.0,16279.66
16279.65,16500.0,16195.02,16434.3
16434.3,16450.0,16330.0,16360.01
16360.01,16490.0,16359.99,16466.76
16466.76,16635.72,16410.01,16550.33
16550.33,16690.0,16550.0,16690.0
16690.0,16710.03,16600.0,16641.78
16644.8,16721.0,16644.8,16660.01
16660.0,16660.01,16500.0,16590.1
16648.53,16874.99,16590.13,16874.99
16874.99,16945.0,16791.79,16828.97
16828.97,16830.0,16625.0,16744.34
16756.45,16786.6,16693.05,16785.0
16785.0,16800.0,16625.0,16626.43
16625.11,16626.35,16440.0,16440.01
16440.01,16572.24,16223.24,16312.77
16312.77,16602.0,16202.12,16598.63
16557.52,16700.0,16526.87,16621.28
16621.78,16673.12,16565.0,16602.0
16602.0,16645.0,16453.4,16500.0
16500.01,16600.0,16499.88,16600.0
16599.99,16710.0,16599.99,16709.99
16710.0,16720.0,16615.32,16626.99
16627.0,16649.0,16610.56,16640.74
16640.74,16640.74,16605.01,16619.0
16619.0,16621.0,16430.0,16546.52
